radius,Hnuc [erg/g/s],h [erg/g],tfromp,p0,rho,X(h1),X(he4),X(o16),X(o20),X(f20),X(ne20),X(mg24),X(al27),X(si28),X(p31),X(s32)
1171875.0,59969675017.10016,3.318200576665593e+18,675361639.7028828,7.339734926631781e+27,8319326266.18334,9.896163053850264e-11,6.767371692444509e-15,0.5999921850636254,0.38999683868260104,2.704791386904127e-09,0.010005977082631068,1.1751954840003852e-10,8.668112327565146e-11,4.995970268031641e-06,8.310088301242825e-11,1.0981321707968816e-10
3515625.0,70832613960.19975,3.3198418184121513e+18,738207506.7729856,7.230342165549588e+27,8188654041.367287,9.87331234364934e-11,4.0521936555984246e-15,0.5999559871467051,0.37027206291451015,7.4043183649904866e-09,0.029744380464453303,1.4143394023179226e-10,8.389391672115208e-11,2.7561555938299074e-05,7.921162624807532e-11,1.1079812514969682e-10
5859375.0,93728119001.96884,3.3561570693236444e+18,862945270.7945099,7.015788596783625e+27,7855433199.689925,9.816013880055545e-11,1.9383532196878432e-15,0.59885690224276,0.28335148613096584,3.649089541292927e-08,0.11706532629320895,2.4355160721292705e-10,7.610581241016762e-11,0.0007262482420274565,7.016649175115091e-11,1.121568808485773e-10
8203125.0,79729037625.4804,3.453166051747535e+18,798418723.8313372,6.733140722214976e+27,7324454273.016056,9.851827949175159e-11,3.198878763526102e-15,0.5985938147143455,0.08998958834619637,5.586427752212485e-08,0.31050449624364346,3.6806297932342303e-10,8.051994027527704e-11,0.0009120440984241572,7.607416829193697e-11,1.099342892818235e-10
10546875.0,323913948054.47986,3.4610398558112824e+18,401261472.948843,6.40752939523867e+27,6952496705.89771,9.981320623370222e-11,3.35675877875114e-11,0.59999999955104,0.004863468646543009,3.5370433894959335e-09,0.39513652728373044,4.331261255183012e-10,9.750970750886325e-11,1.181561980997938e-10,9.706861982800759e-11,1.0240155181325275e-10
12890625.0,328947022460.0929,3.408606082690334e+18,350972461.908288,6.033463017933396e+27,6641820097.33691,9.989158551925553e-11,7.781594096026635e-11,0.5999999995571574,0.00014971006140186482,1.9015490756259894e-10,0.39985028939060385,2.2297160113867825e-10,9.841153235546663e-11,1.0178798177643628e-10,9.846294937735413e-11,1.0133980758389717e-10
15234375.0,236677917530.89716,3.346197928943809e+18,345823849.4984979,5.628656596983194e+27,6305181442.336853,9.991214848599483e-11,8.526639813113276e-11,0.5999999995176235,2.2001009002235623e-06,9.999995518132604e-11,0.3999977995142688,1.8202271006123324e-10,9.868920770121529e-11,1.014698859911001e-10,9.878158911465395e-11,1.0106644182900407e-10
17578125.0,162866043918.1157,3.2752308731135027e+18,341581475.6823426,5.194152853744906e+27,5937112956.416968,9.993022337241933e-11,9.036258740621233e-11,0.5999999995172147,1.7431948179310152e-08,9.999996295700996e-11,0.39999998220674127,1.5379426303130559e-10,9.894127037132397e-11,1.0118308470805715e-10,9.905250531558817e-11,1.0083200414361861e-10
19921875.0,103663224132.88,3.1954887516751217e+18,336866938.155594,4.7364118058551394e+27,5540910174.008967,9.994638568403909e-11,9.410905880585237e-11,0.5999999994829506,1.3041276904469738e-10,9.999997657942944e-11,0.39999999955959037,1.3298093897226685e-10,9.91707987823312e-11,1.0092299508057316e-10,9.929000452601889e-11,1.0062566209151838e-10
22265625.0,61074242028.63725,3.1094848287912023e+18,331667781.6000289,4.2771431644057834e+27,5133664410.194929,9.995998628896063e-11,9.664492481388808e-11,0.5999999994591687,1.0000001302550047e-10,9.999998685036253e-11,0.3999999996253653,1.188513267175262e-10,9.936773019051374e-11,1.0070080831787507e-10,9.948551696493278e-11,1.0045512509240063e-10
