,radius,density,temperature,pressure,ne20,o16,o20,mg24,f29,he4,al27,si28,s32,p31,h1,enuc
0,7812.5,8348567217.060982,656585750.1654551,7.367389341018397e+27,0.007296950195578289,0.5999947308444326,0.3927047967836561,4.964959115859989e-16,2.021109827740692e-09,8.924865970246451e-23,1e-30,3.520155222865518e-06,1e-30,1e-30,1e-30,-16224302.722708587
1,23437.5,8348562334.960963,656588462.8266668,7.36738458375949e+27,0.007297346773077091,0.5999947305339266,0.3927044003174734,4.96582956796289e-16,2.02121163686237e-09,8.925680712345003e-23,1e-30,3.520354310763423e-06,1e-30,1e-30,1e-30,-16225063.014269713
2,39062.5,8348552554.261964,656593923.4034263,7.367375069253059e+27,0.007298148194435289,0.5999947299102243,0.392703599119832,4.967584290292914e-16,2.021417411012993e-09,8.927320920028658e-23,1e-30,3.520754090699334e-06,1e-30,1e-30,1e-30,-16226602.036250615
3,54687.5,8348537876.833372,656602134.463233,7.367360797527434e+27,0.007299353358973324,0.5999947289717495,0.392702394291863,4.970223947172229e-16,2.021726844850061e-09,8.929787849501337e-23,1e-30,3.521355686709694e-06,1e-30,1e-30,1e-30,-16228917.306417767
4,70312.5,8348518309.598899,656613074.4842443,7.367341768622112e+27,0.007300959004467266,0.5999947277207853,0.3927007890949885,4.973742798995656e-16,2.022139090140345e-09,8.933075702088597e-23,9.999999999999999e-31,3.522157619315724e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-16232001.327607524
5,85937.5,8348493867.776451,656626691.2456768,7.367317982590763e+27,0.007302958074450699,0.5999947261632504,0.3926987905835612,4.97812609668678e-16,2.02265233626135e-09,8.9371696474741e-23,1e-30,3.523156084829831e-06,1e-30,1e-30,1e-30,-16235837.96478616
6,101562.5,8348464571.49484,656642921.061236,7.367289439500756e+27,0.007305341087988804,0.5999947243060098,0.3926964082360664,4.983355255235896e-16,2.023264132587028e-09,8.942051607214678e-23,1e-30,3.524346670388045e-06,1e-30,1e-30,1e-30,-16240405.591253668
7,117187.5,8348430344.45287,656662001.4886436,7.367256139431667e+27,0.007308144259853784,0.5999947221216646,0.3926936058475328,4.989510187120027e-16,2.023983786806348e-09,8.947794334573383e-23,1e-30,3.525746964461752e-06,1e-30,1e-30,1e-30,-16245785.695305403
8,132812.5,8348391199.19212,656683902.9877064,7.367218082477318e+27,0.007311361433404243,0.5999947196126607,0.3926903895737806,4.996583163441795e-16,2.024809660811274e-09,8.954390575055145e-23,9.999999999999999e-31,3.527355344036242e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-16251964.121967113
9,148437.5,8348347401.654919,656707750.7534292,7.367175268744485e+27,0.007314867852982221,0.599994716879422,0.3926868841343755,5.0042970937489e-16,2.025709785217892e-09,8.961578335550531e-23,1e-30,3.529107509991468e-06,1e-30,1e-30,1e-30,-16258658.662485793
10,164062.5,8348298320.982817,656735589.5429304,7.367127698352764e+27,0.007318960477577032,0.599994713686205,0.3926827926549879,5.013314967396389e-16,2.026760288628222e-09,8.969976126008577e-23,1e-30,3.531154469229055e-06,1e-30,1e-30,1e-30,-16266539.63571337
11,179687.5,8348244365.310698,656766093.5240686,7.367075371438704e+27,0.007323447379518264,0.5999947101846828,0.3926783070088378,5.023214389693721e-16,2.027911933360375e-09,8.979186638145628e-23,1e-30,3.533399048710163e-06,1e-30,1e-30,1e-30,-16275173.068170963
12,195312.5,8348185884.696449,656798135.422552,7.367018288147146e+27,0.007328163683755776,0.5999947065037349,0.3926735920247459,5.033633877343031e-16,2.029122395314272e-09,8.988871443826971e-23,1e-30,3.535758640443952e-06,1e-30,1e-30,1e-30,-16284186.22037316
13,210937.5,8348122214.798402,656833848.6992904,7.366956448638558e+27,0.007333422672545328,0.5999947023973631,0.3926683345087309,5.045271266025006e-16,2.030472033909768e-09,8.999677815068489e-23,1e-30,3.538390888160814e-06,1e-30,1e-30,1e-30,-16294285.895173097
14,226562.5,8348053970.739312,656871247.5287082,7.366889853087285e+27,0.007338934717866042,0.5999946980933312,0.3926628240070745,5.057487105966574e-16,2.031886539033714e-09,9.011007848841973e-23,9.999999999999999e-31,3.541149841097815e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-16304817.601017965
15,242187.5,8347980776.728399,656911560.4028963,7.366818501678678e+27,0.007344876492315004,0.5999946934485374,0.3926568838986308,5.0706842556814e-16,2.033411128049384e-09,9.023236185071485e-23,1e-30,3.544127105084999e-06,1e-30,1e-30,1e-30,-16316179.708747162
16,257812.5,8347902222.518006,656956079.3012203,7.366742394615181e+27,0.007351442211186728,0.5999946883134729,0.3926503200216896,5.085296481376961e-16,2.035095656951398e-09,9.036758994948619e-23,1e-30,3.547418554633759e-06,1e-30,1e-30,1e-30,-16328809.672951233
17,273437.5,8347818764.37316,657003323.0114623,7.366661532114266e+27,0.007358417310403628,0.5999946828580665,0.3926433468793139,5.100849173031571e-16,2.036885096932353e-09,9.051130964667396e-23,1e-30,3.550915330281056e-06,1e-30,1e-30,1e-30,-16342222.36012976
18,289062.5,8347731134.168321,657050952.2381294,7.366575914399806e+27,0.007365456539442842,0.5999946773515598,0.392636309625455,5.116576715209685e-16,2.038690848578099e-09,9.06564274473414e-23,9.999999999999999e-31,3.55444485079859e-06,9.999999999999999e-31,9.999999999999999e-31,9.999999999999999e-31,-16355638.143058443
19,304687.5,8347638528.164056,657101562.842172,7.366485541708785e+27,0.007372938557949187,0.5999946714921067,0.3926288297088973,5.133337599266757e-16,2.040609915338954e-09,9.081087789583697e-23,1e-30,3.558200436407181e-06,1e-30,1e-30,1e-30,-16369910.806289263
