time                max{T}              x(max{T})           y(max{T})           z(max{T})           vx(max{T})          vy(max{T})          vz(max{T})          R(max{T})           vr(max{T})          T_center            max{Mach}           
0.0000000000e+00    9.2129360284e+08    2.5585937500e+08    2.5195312500e+08    2.5195312500e+08    -2.8135089623e+04   1.7800666167e+05    3.4102256760e+04    6.4777827937e+06    3.8504099087e+04    7.6105604691e+08    2.6453408371e-04    
2.3888554954e-04    9.2129537412e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0105720881e+05    -1.5951654261e+05   8.2229333040e+04    6.4777827937e+06    2.0516605858e+05    7.6105606867e+08    2.6464316071e-04    
5.0165965404e-04    9.2129717278e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9900647697e+05    -1.6287341957e+05   8.2027921960e+04    6.4777827937e+06    2.0438396604e+05    7.6105606949e+08    2.6448737633e-04    
7.9071116899e-04    9.2129912521e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9782996353e+05    -1.6588811178e+05   8.1670538044e+04    6.4777827937e+06    2.0433648880e+05    7.6105607073e+08    2.6431933514e-04    
1.1086678354e-03    9.2130126869e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9713219528e+05    -1.6846325284e+05   8.1319178313e+04    6.4777827937e+06    2.0458770686e+05    7.6105607162e+08    2.6418174751e-04    
1.4584201685e-03    9.2130362921e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9671637074e+05    -1.7062359093e+05   8.1015867302e+04    6.4777827937e+06    2.0495439757e+05    7.6105607303e+08    2.6407525546e-04    
1.8431477349e-03    9.2130622438e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9647797542e+05    -1.7242437935e+05   8.0765592257e+04    6.4777827937e+06    2.0535717979e+05    7.6105607450e+08    2.6399082719e-04    
2.2663480579e-03    9.2130907714e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9635871790e+05    -1.7392297912e+05   8.0562982439e+04    6.4777827937e+06    2.0576224129e+05    7.6105607587e+08    2.6391959991e-04    
2.7318684133e-03    9.2131222221e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9632450321e+05    -1.7517028733e+05   8.0400929212e+04    6.4777827937e+06    2.0615623140e+05    7.6105607670e+08    2.6385501154e-04    
3.2439408041e-03    9.2131568468e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9635449191e+05    -1.7620893890e+05   8.0273150064e+04    6.4777827937e+06    2.0653504930e+05    7.6105607705e+08    2.6379260915e-04    
3.8072204341e-03    9.2131949985e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9643549895e+05    -1.7707378238e+05   8.0174692911e+04    6.4777827937e+06    2.0689876899e+05    7.6105607714e+08    2.6372918668e-04    
4.4268280271e-03    9.2132370692e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9655897165e+05    -1.7779299563e+05   8.0101868906e+04    6.4777827937e+06    2.0724926247e+05    7.6105607694e+08    2.6366272693e-04    
5.1083963793e-03    9.2132835774e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9671933402e+05    -1.7838930840e+05   8.0051972767e+04    6.4777827937e+06    2.0758915501e+05    7.6105607607e+08    2.6359188155e-04    
5.8581215668e-03    9.2133348098e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9691299908e+05    -1.7888091053e+05   8.0023184040e+04    6.4777827937e+06    2.0792123538e+05    7.6105607479e+08    2.6351573474e-04    
6.6828192730e-03    9.2133912445e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9713782395e+05    -1.7928244678e+05   8.0014275393e+04    6.4777827937e+06    2.0824835093e+05    7.6105607292e+08    2.6343361230e-04    
7.5899867498e-03    9.2134534131e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9739274726e+05    -1.7960566584e+05   8.0024526239e+04    6.4777827937e+06    2.0857330120e+05    7.6105607032e+08    2.6334498656e-04    
8.5878709744e-03    9.2135218048e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9767756779e+05    -1.7985999895e+05   8.0053621440e+04    6.4777827937e+06    2.0889884286e+05    7.6105606638e+08    2.6324962299e-04    
9.6855436213e-03    9.2135971102e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9799279605e+05    -1.8005296246e+05   8.0101569444e+04    6.4777827937e+06    2.0922770137e+05    7.6105606125e+08    2.6314684780e-04    
1.0892983533e-02    9.2136800662e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9833959464e+05    -1.8019054809e+05   8.0168675649e+04    6.4777827937e+06    2.0956264283e+05    7.6105605456e+08    2.6303621104e-04    
1.2221167436e-02    9.2137714416e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9871967671e+05    -1.8027742388e+05   8.0255507851e+04    6.4777827937e+06    2.0990645314e+05    7.6105604601e+08    2.6291722710e-04    
1.3682169729e-02    9.2138721134e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9913534096e+05    -1.8031720949e+05   8.0362873173e+04    6.4777827937e+06    2.1026205956e+05    7.6105603515e+08    2.6278938993e-04    
1.5289272251e-02    9.2139829196e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    1.9958941659e+05    -1.8031261990e+05   8.0491841823e+04    6.4777827937e+06    2.1063251710e+05    7.6105601996e+08    2.6265217706e-04    
1.7057085026e-02    9.2141051157e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0008529643e+05    -1.8026559127e+05   8.0643683812e+04    6.4777827937e+06    2.1102109554e+05    7.6105600335e+08    2.6250458977e-04    
1.9001679078e-02    9.2142397857e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0062698898e+05    -1.8017741095e+05   8.0819925186e+04    6.4777827937e+06    2.1143134875e+05    7.6105598239e+08    2.6234633291e-04    
2.1140732536e-02    9.2143882052e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0121915864e+05    -1.8004882505e+05   8.1022327695e+04    6.4777827937e+06    2.1186718959e+05    7.6105595583e+08    2.6217679277e-04    
2.3493691339e-02    9.2145552514e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0186679342e+05    -1.7987986069e+05   8.1252953265e+04    6.4777827937e+06    2.1233251640e+05    7.6105591739e+08    2.6199525281e-04    
2.6081946022e-02    9.2147394565e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0257629595e+05    -1.7967035601e+05   8.1514131278e+04    6.4777827937e+06    2.1283236941e+05    7.6105587058e+08    2.6180116219e-04    
2.8929026174e-02    9.2149426311e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0335457209e+05    -1.7941962871e+05   8.1808491046e+04    6.4777827937e+06    2.1337199673e+05    7.6105581364e+08    2.6159385878e-04    
3.2060814341e-02    9.2151668243e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0420953259e+05    -1.7912659436e+05   8.2139024780e+04    6.4777827937e+06    2.1395732475e+05    7.6105574188e+08    2.6137271755e-04    
3.5505781325e-02    9.2154142714e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0515008133e+05    -1.7878985064e+05   8.2509039507e+04    6.4777827937e+06    2.1459498740e+05    7.6105565417e+08    2.6113781783e-04    
3.9295245007e-02    9.2156874425e+08    2.5585937500e+08    2.4804687500e+08    2.4804687500e+08    2.0618641743e+05    -1.7840765586e+05   8.2922306124e+04    6.4777827937e+06    2.1529254805e+05    7.6105554793e+08    2.6088784002e-04    
